Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
101150,233,773,dilluns,1899-12-30 13:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3268.2999999999993
103173,242,793,dilluns,1899-12-30 13:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3331.7
95081,192,719,dilluns,1899-12-30 13:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3116.4000000000005
101150,200,773,dilluns,1899-12-30 14:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3485.9
101150,228,773,dilluns,1899-12-30 14:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3236.1
103173,236,793,dilluns,1899-12-30 14:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3311.5
95081,184,719,dilluns,1899-12-30 14:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3095.199999999999
101150,198,773,dilluns,1899-12-30 15:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3469.8
101150,205,773,dilluns,1899-12-30 15:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3140.5000000000005
103173,229,793,dilluns,1899-12-30 15:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3297.5999999999995
95081,183,719,dilluns,1899-12-30 15:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3080.8000000000006
101150,200,773,dilluns,1899-12-30 16:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3480.4999999999995
101150,199,773,dilluns,1899-12-30 16:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3076.4000000000005
103173,230,793,dilluns,1899-12-30 16:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3298.4
95081,183,719,dilluns,1899-12-30 16:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3082.1
101150,202,773,dilluns,1899-12-30 17:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3492.3999999999987
101150,189,773,dilluns,1899-12-30 17:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,3047.1999999999994
103173,230,793,dilluns,1899-12-30 17:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,3295.399999999999
95081,190,719,dilluns,1899-12-30 17:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,3112.5
101150,214,773,dilluns,1899-12-30 18:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3529.4
